Author,Title,"Read? (y=yes, n=not going to, g=gave up)",Category,Read more by author?,I'm in it,Signed or Collectible,Comment
A.G. Riddle,"The Atlantis Gene: A Thriller (The Origin Mystery, Book 1)",,,,,,
A.G. Riddle,"The Atlantis Plague: A Thriller (The Origin Mystery, Book 2)",,,,,,
A.G. Riddle,"The Atlantis World (The Origin Mystery, Book 3)",,,,,,
AA Groppelli and Ehsan Nikbakht,Finance (Barron's Business Review Series),y,,,,,
Aaron Goldman,Everything I Learned About Marketing I Learned from Google,,,,,,
Aaron Ximm,Pat the Zombie,y,,,,,
Adam Cohen,American Pharoah,y,,,,,
Adam Toren,Kidpreneurs,,,,,,
Adrian Desmond & James Moore,Darwin,y,biography,,,,
Al Franken,Lies and the Lying Liars Who Tell Them: A Fair and Balanced Look at the Right,y,,,,,
Al Franken,Rush Limbaugh Is a Big Fat Idiot,y,,,,,
Al Pittampalli,Read this before our next meeting,,,,,,
Al Ries,22 Immutable Laws of Branding (1998) (2002),y,branding,,,,
Al Ries,Bottom-up Marketing (1988),,,,,,
Al Ries,Focus,y,branding,,,,
Al Ries,Horse Sense (1991),,,,,,
Al Ries,Marketing Warfare (1985)(2005),,,,,,
Al Ries,Positioning: The Battle for Your Mind (1980) (2000),y,branding,,,,
Al Ries,The 22 Immutable Laws of Marketing (1993),y,,,,,
Al Ries,The Fall of Advertising and the Rise of PR (2002),y,wom,,,,
Al Ries,The Origin of Brands,,,,,,
Al Ries,The Origin of Brands (2004),,,,,,
Alastair Reynolds,Absolution Gap,y,,x,,,
Alastair Reynolds,Blue Remembered Earth,y,,,,,
Alastair Reynolds,Century Rain,y,,,,,
Alastair Reynolds,Chasm City,y,,,,,
Alastair Reynolds,"Diamond Dogs, Tuquoise Days",y,,,,,
Alastair Reynolds,Galactic North,y,,,,,
Alastair Reynolds,House of Suns,y,,,,,
Alastair Reynolds,On the Steel Breeze,y,,,,,
Alastair Reynolds,Pushing Ice,y,,,,,
Alastair Reynolds,Redemption Ark,y,,,,,
Alastair Reynolds,Revalation Space,y,,,,,
Alastair Reynolds,Terminal World,y,,,,,
Alastair Reynolds,The Prefect,y,,,,,
Albert-Laszlo Barabasi,Linked,y,wom,,,,
Aldous Huxley,Brave New World,y,,,,,
Alec MacKenzie,The Time Trap,y,productivity,,,,
Alex Kotlowitz,Never a City So Real,y,,,,,
Alex Lightman,The Diagnosis,y,,,,,
Alexander Kjerulf,Happy Hour is 9 to 5,,,,,,
Alfred Bester,The Stars My Destination,y,,x,,,
Alicia Swasy,Soap Opera: The Inside Story of Procter & Gamble,y,,,,,
Alina Wheeler,Designing Brand Identity,y,,,y,,
All Reis,The 22 Immutable Laws of Marketing: Exposed and Explained by..,,,,,,
Alvin Toffler,Future Shock,y,,,,,
Amy Jones,Twice as Much in Half the Time,,,,,,
Emerson Spartz,Give Me Hope,,,,,,
Amy Stewart,The Last Bookstore In America,,,,,,
Andersen Prunty,Fuckness,,,,,,
Andrew Clements,Frindle,,,,,,
Andrew Grove,Swimming Across,n,,,,,
Andrew Hurley,"Diners, Bowling Alleys and Trailer Parks",n,,,,,
Andrew Keen,The Cult of the Amateur,,,,,,
Andrew S. Grove,High Output Management,,,,,,
Andrew Winston,Looped,y,,,,,
Andy Beal,Radically Transparent,,,,,,
Andy Nulman,How to do the Impossible,,,,,,
Andy Nulman,I Almost Killed George Burns,y,,,,,
Andy Nulman,Pow! Right Between the Eyes,y,,,,,
Andy Sernovitz,Word of Mouth Marketing,y,wom,,,,
Andy Steggles,Social Networking for Non-Profits,y,,,,,
Andy Weir,The Martian: A Novel,,,,,,
Andy Wibbels,Blogwild,y,,,,,
Anese Cavanaugh,"Contagious Culture: Show Up, Set the Tone, and Intentionally..",,,,,,
Angela Connor,18 Rules of Community Engagement,y,community,,,,
Ann Lecke,Ancillary Justice,x,,,,,
Ann Lecke,Ancillary Sword,x,,,,,
Ann Leckie,Ancillary Mercy (Imperial Radch),,,,,,
Ann Leckie,Ancillary Sword (Imperial Radch Book 2),,,,,,
Anna Olswanger,The Olswanger Journal,,,,,,
Annette Lucksinger,Exploring Austin With Kids,,,,,,
Anthony Burgess,A Clockwork Orange,y,,,,,
Anthony Mancuso,The Corporate Minutes Book,n,,,,,
Anthony Robbins,Awaken the Giant Within,,,,,,
Antoine de Saint-Exupéry,The Little Prince,y,,,,,
Arbinger Institue,The Anatomy of Peace,,,,,,
Ari Weinzweig,Zingerman's Guide to Better Bacon,,,,,,
Arthur C. Clarke,Childhood'd End,y,,,,,
Arthur C. Clarke,Greetings Carbon-Based Bipeds,n,,,,,
Arthur C. Clarke,Rendezvous with Rama,,,,,,
Ashlee Vance,"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic..",,,,,,
Audrey Niffenegger,Time Travellers Wife,y,,,,,
Augusten Burroughs,Running with Scissors,y,,,,,
Augusten Burroughs,Sellevision: A Novel,,,,,,
Austin Kleon,Steal Like an Artist: 10 Things Nobody Told You About Being Creative,,,,,,
Ayn Rand,Anthem ,y,,,,,
Ayn Rand,Atlas Shrugged,y,,,,,
Ayn Rand,Fountainhead,y,,,,,
B.J. Emerson,The Tasti D-Lite Way,,,,,,
B.J. Novak,One More Thing: Stories,g,,,,,
Barbara Ehrenreich,Nickel and Dimed: On (Not) Getting By in America,y,,,,,
Barry Moltz,Bounce,y,,,,,
"Bea Fields, Scott Wilder, Jim Bunch, and Rob Newbold",Y: Millennial Leaders,n,,,,,
Becky Chambers,"The Long Way to a Small, Angry Planet (Wayfarers)",,,,,,
Ben Bova,The Silent War,y,,,,,
Ben Horowitz,The Hard Thing About Hard Things: Building a Business When..,y,,,,,
Ben Lieberman,The Carnage Account,g,,,,,
Ben McConnell & Jackie Huba,Citizen Marketers,,,,,,
Ben McConnell & Jackie Huba,Creating Customer Evangelists,y,wom,,,,
Ben McConnell and Jack Huba,Testify,y,,,,,
Ben Mezrich,Bringing Down the House: The Inside Story of Six M.I.T...,,,,,,
Benrik ,This Book Will Change Your Life,,,,,,
Bernadette Jiwa,The Fortune Cookie Principle,,,,,,
Bernd Schmitt,Experiential Marketing,,,,,,
Bernd Schmitt,Happy Customers Everywhere,,,,,,
Bernie Sanders,Outsider in the White House,,,,,,
Bertrand Cesvet,Conversational Capital,,,,,,
Bertrice Small,"Love, Remember Me",y,,,,,
Beta Theta Pi,Son of the Stars,y,,,,x,
Bill Capodagli,"The Disney Way, Revised Edition: Harnessing the Management..",,,,,,
Bill Jensen,The Simplicity Survival Handbook,,,,,,
Bill Schley,The Microscript Rules,,,,,,
Bill Schley,Why Johnny Can't Brand,y,branding,,,,
Billy Collins,Sailing Alone Around the Room,,,,,,
Billy Lee Brammer,The Gay Place,y,,,,,
Blake Butler,Scorch Atlas,,,,,,
Bo Burlingham,Small Giants: Companies That Choose to Be Great Instead of Big,y,entrepreneurship,,,,
Bob Borzotta,Neighbors From Hell: Managing Today's Brand of Conflict..,,,,,,
Bob Burg,It's not about you,,,,,,
Bob Burg,The Go-Giver,,,,,,
Bob Garfield,And Now a Few Words from Me,y,business humor,,,,
Bob Garfield,Bedfellows,y,,,,,
Bob Garfield,The Chaos Scenario,,,,,,
Bob Garfield and Doug Levy,Can't Buy Me Like,y,,,,,
Bob Pearson,Pre-Commerce,,,,,,
Bob Pearson,Storytizing,,,,,,
Bob Stone & Ron Jacobs,Successful Direct Marketing Methods,,,,,,
Borat Sagdiyev,BORAT: Touristic Guidings to Minor Nation of U.S. and A. and Touristic Guidings to Glorious Nation of Kazakhstan…,y,,,,,
Bottom Line Personal,The Book of Inside Information,n,,,,,
Brad Meltzer,The Book of Fate,y,,,,,
Brad Meltzer,The Book of Lies,y,,,,,
Brad Meltzer,The Zero Game,y,,,,,
Brad Smart,"Topgrading, 3rd Edition: The Proven Hiring and Promoting.",,,,,,
Brad Smart,"Topgrading, 3rd Edition: The Proven Hiring and Promoting..",,,,,,
Brad Stone,The Everything Store: Jeff Bezos and the Age of Amazon,y,,,,,
Bradford Smart,The Smart Interviewer,y,hr,,,,
Bradford Smart,Topgrading for Sales,,,,,,
Brandilyn Collins,Violet Dawn,y,,,,,
Brene Brown,The Gifts of Imperfection: Let Go of Who You Think You're..,,,,,,
Brian Doherty,This is Burning Man,y,,,,,
Brian Halligan,Inbound Marketing,,,,,,
Brian Herbert and Kevin Anderson,Dune: The Battle of Corrin,y,,,,,
Brian Herbert and Kevin Anderson,Dune: The Machine Crusade,y,,,,,
Brian Krebs,Spam Nation,x,,,,,
Brian McWilliams,Spam Kings,,,,,,
Brian Reich ,Media Rules,n,,,,,
Brian Solis,What's the Future of Business,n,,,,,
Brian Solis,Engage,,,,,,
Brian Souza,Weekly Coaching Conversation (New Edition): A Business Fable..,,,,,,
Brian Wansink,Mindless Eating,y,food,,,,
Bruce Sterling,Schismatrix Plus,,,,,,
Bruce Sterling (ed),Mirrorshades: The Cyberpunk Anthology,y,,,,,
Bryan Burroughs,Barbarians at the Gate,y,business biography,,,,
Bryan Burroughs,The Big Rich,y,,,,,
Bryan Burroughs,Vendetta,y,,,,,
"Bryan Eisenberg, Jeffrey Eiseberg",Call To Action,,,,,,
"Bryan Eisenberg, Jeffrey Eiseberg",Persuasive Online Copywriting,,,,,,
"Bryan Eisenberg, Jeffrey Eiseberg",Waiting for Your Cat To Bark,,,,,,
Bud Bilanich,Four Secrets of High-Performing Organizations,,,,,,
Byron Reese,Infine Progress,,,,,,
C.J. Cherryh,"Alternate Realtities: Port Eternity, Wave Without Shore, Voyager in Night",y,,,,,
C.J. Cherryh,Brothers of Earth,y,,,,,
C.J. Cherryh,Chanur's Homecoming,y,,,,,
C.J. Cherryh,Chanur's Legacy,y,,,,,
C.J. Cherryh,Chanur's Venture ,y,,,,,
C.J. Cherryh,Collected Short Fiction,y,,,,,
